"","age","job","marital","education","default","housing","loan","contact","month","day_of_week","campaign","pdays","previous","poutcome","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","TD","Sl_no"
"28468",34,"admin.","single","university.degree","no","no","no","cellular","apr","tue",1,999,0,"nonexistent",-1.8,93.075,-47.1,1.423,5099.1,"yes",28468
"2752",29,"housemaid","married","high.school","no","no","no","telephone","may","wed",1,999,0,"nonexistent",1.1,93.994,-36.4,4.859,5191,"no",2752
"28158",26,"admin.","married","high.school","no","yes","no","telephone","apr","mon",1,999,0,"nonexistent",-1.8,93.075,-47.1,1.466,5099.1,"no",28158
"39700",68,"retired","married","professional.course","no","no","yes","cellular","may","thu",1,999,1,"failure",-1.8,93.876,-40,0.692,5008.7,"yes",39700
"38013",34,"technician","married","professional.course","no","yes","yes","telephone","sep","tue",2,999,0,"nonexistent",-3.4,92.379,-29.8,0.788,5017.5,"yes",38013
"36302",36,"self-employed","married","university.degree","no","no","yes","cellular","jun","mon",1,999,1,"failure",-2.9,92.963,-40.8,1.266,5076.2,"yes",36302
"7237",59,"blue-collar","married","basic.9y","unknown","no","no","telephone","may","thu",2,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no",7237
"12935",27,"admin.","single","professional.course","no","no","no","cellular","jul","tue",2,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no",12935
"35615",46,"technician","divorced","professional.course","no","yes","no","cellular","may","mon",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.244,5099.1,"yes",35615
"38404",24,"management","single","university.degree","no","yes","no","cellular","oct","tue",2,999,1,"failure",-3.4,92.431,-26.9,0.737,5017.5,"yes",38404
"15832",49,"admin.","married","university.degree","unknown","yes","no","telephone","jul","mon",1,999,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,"no",15832
"33035",36,"technician","married","university.degree","no","yes","no","cellular","may","mon",2,999,0,"nonexistent",-1.8,92.893,-46.2,1.299,5099.1,"no",33035
"38717",38,"admin.","married","university.degree","no","yes","no","cellular","nov","tue",1,3,3,"success",-3.4,92.649,-30.1,0.715,5017.5,"yes",38717
"25530",34,"technician","married","university.degree","no","yes","no","cellular","nov","wed",1,999,0,"nonexistent",-0.1,93.2,-42,4.12,5195.8,"yes",25530
"19881",42,"technician","married","university.degree","no","yes","no","cellular","aug","fri",5,999,0,"nonexistent",1.4,93.444,-36.1,4.966,5228.1,"no",19881
"27879",31,"admin.","divorced","university.degree","no","yes","yes","cellular","mar","mon",2,999,1,"failure",-1.8,92.843,-50,1.56,5099.1,"yes",27879
"23123",52,"unemployed","divorced","high.school","no","yes","yes","cellular","aug","tue",1,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no",23123
"8037",47,"entrepreneur","single","university.degree","unknown","yes","no","telephone","jun","mon",1,999,0,"nonexistent",1.4,94.465,-41.8,4.865,5228.1,"no",8037
"36458",25,"blue-collar","single","professional.course","no","yes","no","cellular","jun","tue",2,3,1,"success",-2.9,92.963,-40.8,1.262,5076.2,"yes",36458
"24929",38,"blue-collar","divorced","unknown","no","no","no","cellular","nov","tue",1,999,0,"nonexistent",-0.1,93.2,-42,4.153,5195.8,"yes",24929
"16712",36,"services","divorced","high.school","no","no","no","cellular","jul","wed",2,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"yes",16712
"31234",37,"blue-collar","married","basic.6y","no","no","yes","cellular","may","wed",4,999,0,"nonexistent",-1.8,92.893,-46.2,1.334,5099.1,"no",31234
"18929",54,"technician","divorced","high.school","no","no","no","cellular","aug","mon",4,999,0,"nonexistent",1.4,93.444,-36.1,4.97,5228.1,"no",18929
"24214",55,"blue-collar","married","basic.9y","no","no","no","cellular","nov","mon",1,999,0,"nonexistent",-0.1,93.2,-42,4.191,5195.8,"yes",24214
"39717",45,"self-employed","married","high.school","no","no","no","cellular","may","fri",1,999,1,"failure",-1.8,93.876,-40,0.695,5008.7,"yes",39717
"40488",33,"admin.","married","university.degree","no","yes","no","cellular","aug","thu",1,3,3,"success",-1.7,94.027,-38.3,0.899,4991.6,"yes",40488
"41010",24,"blue-collar","single","high.school","no","no","no","cellular","oct","thu",1,3,1,"success",-1.1,94.601,-49.5,1.025,4963.6,"yes",41010
"37510",74,"retired","married","professional.course","no","yes","no","cellular","aug","thu",3,999,1,"failure",-2.9,92.201,-31.4,0.873,5076.2,"yes",37510
"27509",35,"admin.","single","university.degree","no","no","no","cellular","nov","fri",2,999,0,"nonexistent",-0.1,93.2,-42,4.021,5195.8,"no",27509
"31840",52,"technician","married","professional.course","no","no","no","cellular","may","thu",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.327,5099.1,"no",31840
"14824",44,"blue-collar","married","basic.4y","no","yes","no","cellular","jul","wed",1,999,0,"nonexistent",1.4,93.918,-42.7,4.957,5228.1,"no",14824
"25211",30,"admin.","single","high.school","no","unknown","unknown","cellular","nov","tue",2,999,0,"nonexistent",-0.1,93.2,-42,4.153,5195.8,"no",25211
"8494",42,"technician","single","high.school","no","yes","no","telephone","jun","wed",1,999,0,"nonexistent",1.4,94.465,-41.8,4.864,5228.1,"no",8494
"40165",35,"admin.","married","university.degree","no","no","no","cellular","jul","thu",2,6,1,"success",-1.7,94.215,-40.3,0.846,4991.6,"yes",40165
"34846",34,"admin.","single","university.degree","no","yes","no","cellular","may","fri",5,999,0,"nonexistent",-1.8,92.893,-46.2,1.25,5099.1,"no",34846
"30498",53,"admin.","divorced","university.degree","no","yes","no","cellular","may","mon",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.354,5099.1,"yes",30498
"38939",28,"technician","single","professional.course","no","yes","no","cellular","nov","wed",2,6,1,"success",-3.4,92.649,-30.1,0.716,5017.5,"yes",38939
"2472",39,"blue-collar","married","basic.9y","unknown","yes","yes","telephone","may","tue",2,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no",2472
"29121",41,"blue-collar","married","professional.course","unknown","yes","no","cellular","apr","fri",1,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"no",29121
"33951",45,"services","divorced","basic.9y","no","no","no","cellular","may","wed",1,999,1,"failure",-1.8,92.893,-46.2,1.281,5099.1,"no",33951
"4020",38,"management","married","unknown","no","no","no","telephone","may","mon",1,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,"no",4020
"38765",29,"student","single","professional.course","no","yes","yes","cellular","nov","thu",1,7,1,"success",-3.4,92.649,-30.1,0.714,5017.5,"yes",38765
"32669",34,"technician","married","professional.course","no","yes","no","cellular","may","mon",1,999,1,"failure",-1.8,92.893,-46.2,1.299,5099.1,"yes",32669
"17021",54,"retired","single","high.school","no","yes","no","cellular","jul","thu",3,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no",17021
"38570",69,"retired","married","basic.4y","no","yes","no","cellular","oct","thu",1,999,0,"nonexistent",-3.4,92.431,-26.9,0.722,5017.5,"yes",38570
"3157",35,"technician","married","professional.course","no","no","no","telephone","may","thu",3,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,"no",3157
"28826",45,"technician","single","professional.course","no","no","no","cellular","apr","thu",3,999,1,"failure",-1.8,93.075,-47.1,1.41,5099.1,"no",28826
"3577",45,"technician","married","university.degree","no","yes","no","telephone","may","fri",3,999,0,"nonexistent",1.1,93.994,-36.4,4.859,5191,"yes",3577
"20452",35,"technician","single","university.degree","no","yes","no","cellular","aug","tue",3,999,0,"nonexistent",1.4,93.444,-36.1,4.966,5228.1,"yes",20452
"17533",37,"admin.","married","university.degree","no","no","no","telephone","jul","mon",5,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"yes",17533
"38781",34,"admin.","single","university.degree","no","yes","no","cellular","nov","thu",1,3,2,"success",-3.4,92.649,-30.1,0.714,5017.5,"yes",38781
"38072",70,"retired","married","basic.4y","no","no","no","cellular","sep","tue",1,3,2,"success",-3.4,92.379,-29.8,0.77,5017.5,"yes",38072
"4134",46,"blue-collar","married","basic.4y","no","unknown","unknown","telephone","may","mon",2,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,"no",4134
"27238",31,"admin.","single","high.school","no","yes","no","cellular","nov","fri",1,999,0,"nonexistent",-0.1,93.2,-42,4.021,5195.8,"no",27238
"19945",45,"management","married","university.degree","no","yes","no","cellular","aug","fri",4,999,0,"nonexistent",1.4,93.444,-36.1,4.966,5228.1,"no",19945
"38191",69,"retired","divorced","professional.course","no","no","no","cellular","oct","tue",1,999,0,"nonexistent",-3.4,92.431,-26.9,0.744,5017.5,"yes",38191
"4833",33,"technician","married","professional.course","no","yes","no","telephone","may","wed",1,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,"no",4833
"38056",40,"unemployed","married","professional.course","no","no","yes","telephone","sep","fri",1,999,0,"nonexistent",-3.4,92.379,-29.8,0.773,5017.5,"yes",38056
"27690",44,"blue-collar","married","basic.4y","no","yes","yes","telephone","dec","mon",1,999,0,"nonexistent",-0.2,92.756,-45.9,3.053,5176.3,"yes",27690
"21225",52,"housemaid","married","basic.4y","unknown","yes","no","cellular","aug","mon",2,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no",21225
"32961",35,"blue-collar","married","basic.4y","no","no","yes","cellular","may","mon",2,999,1,"failure",-1.8,92.893,-46.2,1.299,5099.1,"no",32961
"7914",52,"technician","married","high.school","no","unknown","unknown","telephone","jun","mon",1,999,0,"nonexistent",1.4,94.465,-41.8,4.865,5228.1,"no",7914
"3741",46,"admin.","divorced","university.degree","no","no","no","telephone","may","fri",1,999,0,"nonexistent",1.1,93.994,-36.4,4.859,5191,"yes",3741
"32259",36,"services","single","basic.9y","no","yes","no","cellular","may","fri",2,999,0,"nonexistent",-1.8,92.893,-46.2,1.313,5099.1,"yes",32259
"35175",37,"services","married","basic.6y","unknown","yes","no","cellular","may","fri",1,999,1,"failure",-1.8,92.893,-46.2,1.25,5099.1,"yes",35175
"30615",57,"entrepreneur","married","basic.9y","no","yes","no","cellular","may","mon",4,999,1,"failure",-1.8,92.893,-46.2,1.354,5099.1,"yes",30615
"19357",45,"blue-collar","married","basic.4y","unknown","no","no","cellular","aug","wed",1,999,0,"nonexistent",1.4,93.444,-36.1,4.967,5228.1,"no",19357
"30407",61,"retired","divorced","university.degree","no","no","no","cellular","apr","thu",2,999,0,"nonexistent",-1.8,93.075,-47.1,1.365,5099.1,"yes",30407
"2970",39,"blue-collar","married","basic.9y","no","yes","no","telephone","may","wed",2,999,0,"nonexistent",1.1,93.994,-36.4,4.859,5191,"no",2970
"32989",39,"blue-collar","married","basic.6y","unknown","no","no","cellular","may","mon",2,999,0,"nonexistent",-1.8,92.893,-46.2,1.299,5099.1,"yes",32989
"15214",50,"admin.","divorced","university.degree","no","yes","no","cellular","jul","thu",2,999,0,"nonexistent",1.4,93.918,-42.7,4.958,5228.1,"no",15214
"9735",35,"blue-collar","married","basic.4y","unknown","yes","no","telephone","jun","mon",5,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,"no",9735
"21160",41,"self-employed","married","university.degree","no","yes","no","cellular","aug","mon",2,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no",21160
"40815",29,"admin.","single","high.school","no","no","no","cellular","sep","thu",1,999,0,"nonexistent",-1.1,94.199,-37.5,0.878,4963.6,"no",40815
"27460",56,"blue-collar","married","basic.9y","no","yes","no","cellular","nov","fri",2,999,0,"nonexistent",-0.1,93.2,-42,4.021,5195.8,"no",27460
"2082",34,"technician","single","university.degree","unknown","no","no","telephone","may","mon",3,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",2082
"12005",48,"blue-collar","married","high.school","no","yes","yes","telephone","jun","thu",3,999,0,"nonexistent",1.4,94.465,-41.8,4.955,5228.1,"yes",12005
"37270",35,"services","single","university.degree","no","unknown","unknown","cellular","aug","mon",2,999,0,"nonexistent",-2.9,92.201,-31.4,0.884,5076.2,"no",37270
"21957",53,"admin.","married","university.degree","no","no","no","cellular","aug","wed",1,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"no",21957
"30337",28,"admin.","married","university.degree","no","no","no","cellular","apr","thu",1,2,2,"success",-1.8,93.075,-47.1,1.365,5099.1,"yes",30337
"29683",75,"retired","divorced","basic.4y","no","no","no","cellular","apr","mon",4,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"yes",29683
"33300",31,"admin.","single","university.degree","no","no","no","cellular","may","tue",1,999,1,"failure",-1.8,92.893,-46.2,1.291,5099.1,"no",33300
"39499",80,"retired","divorced","basic.4y","no","yes","yes","cellular","apr","thu",1,10,2,"success",-1.8,93.749,-34.6,0.644,5008.7,"yes",39499
"17636",51,"entrepreneur","divorced","university.degree","no","unknown","unknown","cellular","jul","mon",14,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no",17636
"20081",35,"unemployed","single","university.degree","no","no","no","cellular","aug","mon",2,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"yes",20081
"40164",70,"retired","divorced","basic.4y","no","no","no","cellular","jul","thu",2,6,2,"success",-1.7,94.215,-40.3,0.846,4991.6,"yes",40164
"24071",57,"retired","divorced","university.degree","no","yes","no","telephone","nov","tue",1,999,0,"nonexistent",-0.1,93.2,-42,4.7,5195.8,"no",24071
"20387",51,"technician","married","professional.course","no","yes","no","cellular","aug","tue",4,999,0,"nonexistent",1.4,93.444,-36.1,4.966,5228.1,"no",20387
"38658",37,"entrepreneur","divorced","high.school","no","yes","yes","cellular","nov","wed",2,999,1,"failure",-3.4,92.649,-30.1,0.719,5017.5,"no",38658
"35970",42,"technician","married","professional.course","no","no","no","cellular","may","mon",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.264,5099.1,"yes",35970
"38647",30,"unemployed","single","basic.9y","no","yes","no","cellular","nov","tue",1,999,0,"nonexistent",-3.4,92.649,-30.1,0.72,5017.5,"yes",38647
"36959",51,"technician","married","professional.course","no","no","no","cellular","jul","thu",1,13,1,"success",-2.9,92.469,-33.6,1.072,5076.2,"yes",36959
"6063",46,"blue-collar","married","basic.4y","no","no","no","telephone","may","tue",1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,"no",6063
"12362",41,"management","married","university.degree","no","yes","no","cellular","jul","fri",3,999,0,"nonexistent",1.4,93.918,-42.7,4.959,5228.1,"no",12362
"14870",28,"services","married","high.school","no","yes","yes","cellular","jul","wed",1,999,0,"nonexistent",1.4,93.918,-42.7,4.957,5228.1,"no",14870
"15245",32,"admin.","single","high.school","no","no","no","cellular","jul","thu",3,999,0,"nonexistent",1.4,93.918,-42.7,4.958,5228.1,"no",15245
"4907",44,"technician","married","high.school","unknown","yes","no","telephone","may","wed",2,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,"no",4907
"27221",29,"technician","single","professional.course","no","no","no","cellular","nov","fri",3,999,0,"nonexistent",-0.1,93.2,-42,4.021,5195.8,"yes",27221
"31395",39,"blue-collar","married","basic.9y","no","no","no","cellular","may","wed",3,999,0,"nonexistent",-1.8,92.893,-46.2,1.334,5099.1,"no",31395
"28503",30,"admin.","married","university.degree","no","yes","yes","cellular","apr","tue",1,999,0,"nonexistent",-1.8,93.075,-47.1,1.423,5099.1,"yes",28503
"36777",22,"technician","single","university.degree","no","yes","no","cellular","jun","fri",4,999,1,"failure",-2.9,92.963,-40.8,1.268,5076.2,"yes",36777
"30428",24,"student","single","high.school","no","no","yes","cellular","apr","thu",1,999,0,"nonexistent",-1.8,93.075,-47.1,1.365,5099.1,"no",30428
"32440",37,"admin.","single","university.degree","no","no","no","cellular","may","fri",2,999,1,"failure",-1.8,92.893,-46.2,1.313,5099.1,"no",32440
"4227",36,"blue-collar","married","basic.9y","no","yes","no","telephone","may","tue",1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no",4227
"37326",45,"services","married","high.school","no","no","no","cellular","aug","tue",3,999,0,"nonexistent",-2.9,92.201,-31.4,0.883,5076.2,"no",37326
"20863",30,"unknown","divorced","university.degree","no","no","yes","cellular","aug","thu",1,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,"no",20863
"39145",66,"retired","married","professional.course","no","no","no","cellular","mar","tue",1,999,1,"failure",-1.8,93.369,-34.8,0.655,5008.7,"yes",39145
"31737",33,"admin.","single","university.degree","no","yes","no","cellular","may","thu",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.327,5099.1,"no",31737
"15794",43,"services","married","high.school","no","no","no","cellular","jul","mon",1,999,0,"nonexistent",1.4,93.918,-42.7,4.96,5228.1,"yes",15794
"17235",56,"admin.","married","university.degree","no","yes","yes","cellular","jul","fri",2,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no",17235
